Consórcio;No atual;Destino 1;Destino 2;via
Santa Cruz;SN846;Rio da Prata;Campo Grande;via Cabuçu
Santa Cruz;SN850;Mendanha;Campo Grande;
Santa Cruz;SN867;Barra de Guaratiba;Campo Grande;via Ilha de Guaratiba
Santa Cruz;SN870;Sepetiba;Bangu;
Santa Cruz;SN898;Sepetiba;Campo Grande;via Estrada do Campinho
Internorte;SP265;Marechal Hermes;São Cristóvão;via Parque Madureira
Internorte;SP292;Engenho da Rainha;Candelária;
Internorte;SP311;Castelo;Del Castilho;via Democráticos
Internorte;SP326;Portuguesa;Castelo;via Brasil
Transcarioca;SP341;Freguesia;Candelária;via Serra
Transcarioca;SP343;Rio das Pedras;Candelária;via Linha Amarela
Internorte;SP350;Irajá;Candelária;
Transcarioca;SP352;Riocentro;Saida 7;via Linha Amarela
Transcarioca;SP363;Vila Valqueire;Candelária;via Méier
Transcarioca;SP368;Riocentro;Cardoso Fontes;via Ituverava
Santa Cruz;SP383;Jardim Novo (Realengo);Praça da República;
Internorte;SP483;Olaria;Siqueira Campos;via Santa Barbara
Santa Cruz;SP850;Sao Geraldo;Campo Grande;
Transcarioca;SP878;Freguesia;Praia da Barra;via Rio das Pedras
BRT;SP899A;Alvorada;Downtown;parador
BRT;SP931A;Curicica;Riocentro;via Arroio Pavuna
Transcarioca;SPINT8;Barra Sul;Rio Sul;
Santa Cruz;SR300;Sulacap;Candelária;via Seletiva
Internorte;SR335;Cordovil;Tiradentes;via Seletiva
Internorte;SR342;Jardim América;Passeio;via Seletiva
Internorte;SR349;Rocha Miranda;Praça XV;via Seletiva
Internorte;SR350;Irajá;Passeio;via Seletiva
Santa Cruz;SR358;Cosmos;Candelária;via Seletiva
Internorte;SR362;Honório Gurgel;Castelo;via Seletiva
Santa Cruz;SR367;Realengo;Candelária;via Seletiva
Internorte;SR378;Marechal Hermes;Castelo;via Seletiva
Santa Cruz;SR379;Catiri;Tiradentes;Seletiva
Internorte;SR385;Castelo;Village Pavuna;via Seletiva
Santa Cruz;SR389;Vila Aliança;Candelária;via Seletiva
Santa Cruz;SR393;Bangu;Castelo;
Santa Cruz;SR394;Vila Kennedy;Tiradentes;Parador
Santa Cruz;SR395;Coqueiros;Tiradentes;Parador
Santa Cruz;SR397;Campo Grande;Carioca;via Bangu
Santa Cruz;SR398;Campo Grande;Tiradentes;
Transcarioca;SR693;Méier;Alvorada;direto
BRT;SR899A;Alvorada;Joatinga;direto
Transcarioca;SV2333;Piabas;Castelo;via Orla
Santa Cruz;SV2334;Campo Grande;Castelo;
Santa Cruz;SV2336;Campo Grande;Castelo;
Transcarioca;SV2345;Castelo;Vila Valqueire;
Transcarioca;SV2345;Castelo;Vila Valqueire;
Santa Cruz;SV2381;Pedra de Guaratiba;Castelo;
Santa Cruz;SV2381;Pedra de Guaratiba;Castelo;
Santa Cruz;SV300;Sulacap;Candelária;via Estrada do Fontinha
Internorte;SV322;Ribeira;Castelo;via Cidade Universitária
Internorte;SV324;Ribeira;Castelo;via Cidade Universitária
Internorte;SV326;Bancários;Castelo;via Cidade Universitária
Internorte;SV328;Bananal;Castelo;via Cidade Universitária
Internorte;SV335;Brás de Pina;Tiradentes;via Seletiva
Transcarioca;SV363;Praça Seca;Castelo;via Valqueire
Internorte;SV376;Pavuna;Praça XV;via Parque Columbia
Transcarioca;SV380;Curicica;Candelária;via Edgard Werneck
Transcarioca;SV390;Curicica;Candelária;via Estrada do Pau Ferro
Internorte;SV498;Circular da Penha;Largo do Machado;via Conj. Marcilio Dias
Transcarioca;SV600;Taquara (Boiúna);Saens Peña;via Edgard Werneck
Internorte;SV606;Rodoviária;Engenho de Dentro;via Boca do Mato
Internorte;SV669;Pavuna;Cachambi;via Camboata
Internorte;SV696;Méier;Praia do Dende;via Dona Clara
Santa Cruz;SV745;Bangu;Cascadura;circular
Santa Cruz;SV777;Padre Miguel;Madureira;via Estrada de Botafogo
Internorte;SV779;Pavuna;Madureira;via Praça Seca
Santa Cruz;SV790;Campo Grande;Cascadura;
Santa Cruz;SV819;Jardim Bangu;Bangu;via Catiri
Santa Cruz;SV841;Carvalho Ramos;Campo Grande;circular
Santa Cruz;SV843;Boa Esperanca;Campo Grande;via Estrada da Cachamorra
Santa Cruz;SV858;Campo Grande;Sta Cruz;via Cesarão/Conjunto Alvorada
Santa Cruz;SV866;Cinco Marias;Campo Grande;circular
Santa Cruz;SV870;Sepetiba;Bangu;via Cesarão
BRT;SV874A;Ilha de Guaratiba;Barra de Guaratiba;
Transcarioca;SV880;Rio das Pedras;Ilha Pura;
Internorte;SV901;Bonsucesso;Bananal;via Cacuia
Internorte;SV908;Bonsucesso;Guadalupe;
Internorte;SV917;Realengo;Bonsucesso;via Rua Marina
Internorte;SV920;Pavuna;Bonsucesso;via Shopping Via Brasil
Internorte;SV942;Penha;Pavuna;via Shopping Via Brasil
Internorte;SV944;Pavuna;Conjunto Engenheiro Rubens Paiva;via Rua Sargento A. Ernesto
Internorte;SV956;Invernada;Penha;via Cidade Universitaria
Internorte;SVA905;Bonsucesso;Irajá;via Amarelinho
Internorte;SVB905;Irajá;Hospital das Clínicas;via Cidade Universitária
Intersul;TRO1;Central;General Osório;via Aterro
Intersul;TRO10;Pça. Cruz Vermelha;General Osório;via Catete
Intersul;TRO3;Central;Leblon;via Aterro
Intersul;TRO4;São Conrado;Rodoviária;via Niemeyer
Intersul;TRO5;Central;Gávea;via Praia do Flamengo
Intersul;TRO6;Rodoviária;Jardim de Alah;via Santa Bárbara
Intersul;TRO7;Central;Cosme Velho;via Sta Bárbara
Intersul;TRO8;Rodoviária;Cosme Velho;via Largo do Machado
Intersul;TRO9;Central;São Conrado;via Santa Bárbara
