Linha;Vista;Empresa
SN538;SN-ROCINHA X LEME(V.ESTR. DA GAVEA/JOQUEI)CIRCULAR;Real
539;ROCINHA X LEME(V.ESTR.DA GAVEA/COPACABANA)CIRCULAR;POOL: Alpha - Consórcio Intersul - Graças
SN539;SN-ROCINHAXLEME(V.ESTR.DAGAVEA/COPACABANA)CIRCULAR;Alpha
SP539;SP-ROCINHAXLEME(V.ESTR.DAGAVEA/COPACABANA)CIRCULAR;Alpha
548;ALVORADAXM.BOTAFOGO(V.AV.AMERICAS/J.BOTANICO)CIRC;POOL: Braso Lisboa - Real - Vila Isabel - Estrela Azul - São Silvestre - Graças
550;CIDADE DE DEUS X GAVEA;POOL: Futuro - Futuro
551;INTEGRADA 1 - RIO SUL X ALVORADA (VIA AV.ATLANTICA/LAGOA-BARRA/AV. DAS AMÉRICAS);POOL: Três Amigos - Consórcio Intersul - Litoral Rio - Redentor
552;INTEGRADA 2 - RIO SUL X ALVORADA (VIA AV.ATLANTICA/AV. NIEMEYER/AV. LUCIO COSTA);POOL: Redentor - Consórcio Intersul
553;INTEGRADA 8 - RIO SUL X RECREIO (VIA AV.ATLÂNTICA/LAGOA-BARRA/AV. DAS AMÉRICAS);POOL: Redentor - Real
SP553;INTEGRADA SP 8 - RIO SUL X BARRA SUL (VIA AV.ATLÂNTICA/LAGOA-BARRA/AV. DAS AMÉRICAS);Real
554;INTEGRADA 9 - RIO SUL X PIABAS (VIA AV. ATLANTICA/AV.NIEMEYER/AV. BENVINDO NOVAES);Redentor
555;RIO DAS PEDRAS X GAVEA;POOL: Futuro - Futuro - Futuro
556;RIO DAS PEDRAS X LEBLON (CIRCULAR);Futuro
557;RIO DAS PEDRAS X COPACABANA (CIRCULAR);Futuro
558;INTEGRADA 6 - GAL. OSORIO X CIDADE DE DEUS (VIA ITANHANGÁ);Futuro
565;TANQUE X GAVEA (VIA FREGUESIA);Futuro
580;LARGO DO MACHADO X COSME VELHO;São Silvestre
SP580;SP - LARGO DO MACHADO X LARANJEIRAS;São Silvestre
581;CIRCULAR 1 - LEBLON X COSME VELHO (VIA COPACABANA/URCA/LARGO DO MACHADO)CIRCULAR;POOL: São Silvestre - São Silvestre
582;CIRCULAR 2 - LEBLON X URCA (VIA J.BOTANICO/T. REBOUCAS/LARANJEIRAS) CIRCULAR;POOL: São Silvestre - São Silvestre
583;COSME VELHO X LEBLON (VIA JOQUEI) CIRCULAR;POOL: São Silvestre - São Silvestre
584;COSME VELHO X LEBLON (VIA COPACABANA) CIRCULAR;POOL: São Silvestre - São Silvestre
600;TAQUARA X PCA.SAENS PENA(VIA C.DEUS/AV M.CORTES);Litoral Rio
SV600;SV - TAQUARA X PCA. SAENS PENA(VIA EDGAR WERNECK);Litoral Rio
601;PCA SAENS PENA X TAQUARA (VIA AV. MENEZES CORTES);Litoral Rio
602;ANDARAI X SAENS PENA (CIRCULAR);Graças
603;USINA X SAENS PENA (VIA SAO MIGUEL);Tijuca
605;SAO FRANCISCO XAVIER X VILA ISABEL;Vila Isabel
606;ENGENHO DE DENTRO X RODOVIARIA;Matias
SV606;SV- ENGENHO DE DENTRO X RODOVIARIA(V.BOCA DO MATO);Matias
607;CASCADURA X RIO COMPRIDO (VIA ESTACIO) CIRCULAR;POOL: Acari - Acari - Acari
608;GRAJAU X PRACA SAENS PENA;POOL: Tijuca - Tijuca
609;MEIER X SAO FRANCISCO XAVIER;Três Amigos
610;DEL CASTILHO X TANQUE (VIA LINHA AMARELA);Redentor
611;CAMORIM X DEL CASTILHO (VIA CURICICA/ LINHA AMARELA);Litoral Rio
613;VARGEM GRANDEXDEL CASTILHO(VIA A.BUENO/L.AMARELA);Redentor
SP613;SP-RIO CENTROXDEL CASTILHO(VIA A.BUENO/L.AMARELA);Redentor
614;DEL CASTILHO X ALVORADA;Redentor
SE614;SE - DEL CASTILHO X ALVORA (VIA ENGENHAO);Redentor
615;PAVUNA X DEL CASTILHO(VIA N.SHOPPING) CIRCULAR;POOL: Pavunense - Pavunense - Pavunense
616;DEL CASTILHO X FUNDAO (VIA CIDADE UNIVERSITARIA);Ideal
617;RIO COMPRIDO X BENFICA (VIA SÃO CRISTÓVÃO)CIRCULAR;Alpha
621;PENHA X SAENS PENA (VIA MANGUEIRA) CIRCULAR;POOL: Lourdes - Lourdes
622;PENHA X SAENS PENA (VIA GRAJAU) CIRCULAR;POOL: Lourdes - Lourdes
623;PENHA X SAENS PENA (V. TUNEL NOEL ROSA)CIRCULAR;POOL: Lourdes - Lourdes
624;MARIOPOLIS X PRACA DA BANDEIRA;Novacap
625;OLARIA X SAENS PENA (CIRCULAR);Lourdes
626;SAENS PENA X MUDA;POOL: Alpha - Alpha
627;INHAUMA X SAENS PENA;POOL: Penha Rio - Penha Rio
628;PENHA X NOVA AMERICA(CIRCULAR);Lourdes
629;IRAJA X SAENS PENA;Caprichosa
630;PENHA(IAPI) X SAENS PENA;POOL: Penha Rio - Penha Rio
634;BANANAL X SAENS PENA;Paranapuan
635;BANANAL X SAENS PENA(V.L.VERMELHA/C.UNIVERSITARIA);Paranapuan
636;GARDÊNIA AZUL X S. PENA (VIA MADUREIRA);POOL: Redentor - Redentor
638;MARECHAL HERMES X SAENS PENA (CIRCULAR);POOL: Três Amigos - Três Amigos - Três Amigos
639;JARDIM AMERICA X SAENS PENA(VIA ROCHA MIRANDA);Caprichosa
650;MARECHAL HERMES X ENGENHO NOVO (CIRCULAR);POOL: Acari - Acari - Acari - Acari
651;MEIER X CASCADURA (VIA ARQUIAS CORDEIRO)CIRCULAR;POOL: Estrela - Estrela
652;MEIER X CASCADURA (VIA LINS) CIRCULAR;Estrela
653;MARECHAL HERMES X MEIER (CIRCULAR);Estrela
663;MEIER X FUNDAO (CIRCULAR);Ideal
665;PAVUNA X SAENS PENA(VIA PASTOR M. LUTHER KING JR.);POOL: América - América
SVB665;SVB - PAVUNA X SAENS PENA(VIA B.FILHO/COSTA BARROS;América
SVA665;SVA - PAVUNA X SAENS PENA;América
667;MADUREIRA X MEIER (CIRCULAR);POOL: Acari - Acari
669;PAVUNA X MEIER;Vila Real
SV669;SV - PAVUNA X MEIER (VIA CAMBOATA);Vila Real
673;PARADA DE LUCAS X PENHA (CIRCULAR);Lourdes
676;MEIER X MADUREIRA (VIA CASCADURA) CIRCULAR;Três Amigos
678;MEIER X VILA VALQUEIRE;POOL: Estrela - Estrela - Estrela
679;GROTAO X MEIER (CIRCULAR);Lourdes
680;PENHA (IAPI) X MEIER (CIRCULAR);Penha Rio
685;IRAJA X MEIER;POOL: Três Amigos - Três Amigos
SVA685;SVA- IRAJA X MEIER (VIA EMBAU);Três Amigos
SVB685;SVB- IRAJA X MEIER (VIA RUA URURAI);Três Amigos
686;FAZENDA DA BICA X MADUREIRA (CIRCULAR);Acari
687;PAVUNA X MEIER;POOL: Pavunense - Pavunense - Pavunense
SP687;SP - PAVUNA X INHAUMA;Pavunense
688;MEIER X PAVUNA (VIA RUA JOSE DOS REIS);Pavunense
690;MEIER X MADUREIRA;Translitoral Transporte Ltda.
691;MEIER X CIDADE DE DEUS(VIA TAQUARA/L.AMARELA);POOL: Redentor - Transurb - Transurb
692;MEIER X ALVORADA (VIA D.HELDER CAMARA / L.AMARELA);POOL: Redentor - Redentor
693;MEIER X ALVORADA (VIA R.DIAS DA CRUZ / L.AMARELA);POOL: Transurb - Redentor
696;MEIER X PRAIA DO DENDE;Ideal
SVA696;SVA - DENDE X MEIER (VIA AIRJ);Ideal
SVB696;SVB - MEIER X PRAIA DO DENDE (VIA C. UNIVERSITARIA;Ideal
702;PRACA SECA X MADUREIRA (CIRCULAR);Transportes Santa Maria Ltda.
709;CASCADURA X AMARELINHO (CIRCULAR);Três Amigos
711;ROCHA MIRANDA X RIO COMPRIDO;Estrela
712;CASCADURA X IRAJA (CIRCULAR);POOL: Três Amigos - Três Amigos - Três Amigos
723;CASCADURA X MARIOPOLIS;Novacap
725;RICARDO DE ALBUQUERQUE X CASCADURA (CIRCULAR);Barra
727;PAVUNA X JAVATA;POOL: Pavunense - Pavunense - Vila Real
731;CAMPO GRANDE X MARECHAL HERMES (VIA EST. DA POSSE);Barra
737;SANTISSIMO X MARECHAL HERMES (CIRCULAR);Barra
SN737;SN - SANTISSIMO X MARECHAL HERMES (CIRCULAR);Barra
738;URUCANIA X MARECHAL HERMES;Pégaso
739;SULACAP X BANGU;POOL: Barra - Barra
741;BARATA X BANGU (VIA MURUNDU) CIRCULAR;Barra
SN741;SN - BARATA X BANGU (VIA MURUNDU) CIRCULAR;Barra
742;BARATA X CASCADURA;Barra
743;BARATA X BANGU (VIA AGUA BRANCA) CIRCULAR;Barra
744;REALENGO X CASCADURA (VIA JARDIM NOVO);Barra
SN744;SN - REALENGO X CASCADURA (VIA JARDIM NOVO);Barra
745;BANGU X CASCADURA;Barra
SN745;SN - BANGU X CASCADURA;Barra
746;JABOUR X CASCADURA;POOL: Barra - Barra
751;JARDIM NOVO REALENGO X CASCADURA;Barra
752;CONJUNTO DOS PALMARES X COELHO NETO;Barra
755;REALENGO X COELHO NETO (CIRCULAR);Barra
756;SANTA CRUZ X COELHO NETO;POOL: Barra - Barra
759;CESARAO X COELHO NETO;Campo Grande
767;CAMPO GRANDE X GUADALUPE (VIA V.KENNEDY) CIRCULAR;Barra
769;JARDIM VIOLETA X MADUREIRA (VIA BANGU) CIRCULAR;POOL: Jabour - Jabour
770;CAMPO GRANDE X COELHO NETO (METRO)CIRCULAR;Pégaso
771;CAMPO GRANDE X COELHO NETO(METRO)CIRCULAR;Pégaso
772;BANGU X COELHO NETO(CIRCULAR);Campo Grande
773;CASCADURA X PAVUNA( VIA CAMBOATA) CIRCULAR;POOL: Vila Real - Vila Real - Vila Real
774;MADUREIRA X JARDIM AMERICA (CIRCULAR);POOL: Caprichosa - Caprichosa - Caprichosa
