"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"12865601","148","711","Rocha Miranda - Rio Comprido","711-RIO COMPRIDO - ROCHA MIRANDA","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865601&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12861248","148","222","Vila Isabel - Praça Mauá (via Hosp. dos Servidores) (Circular)","222-Vila Isabel - Praça Mauá (via Hosp. dos Servidores) (Circular)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12861248&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12864934","148","782","Cascadura - Marechal Hermes (via Rocha Miranda) (Circular)","782-CASCADURA - MARECHAL HERMES (VIA ROCHA MIRANDA) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864934&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"13387096","148","BRT","Paciência - Recreio","TO-CG-Transoeste","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=13387096&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","000080","FFFFFF"
"12862289","148","331","Praça Seca - Castelo (via Linha Amarela)","331-PRACA SECA - CASTELO (VIA LINHA AMARELA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862289&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12864981","148","2345","Vila Valqueire - Castelo (via Norte Shopping/R. Quiririm)","2345-VILA VALQUEIRE - CASTELO (VIA NORTE SHOPPING/R. QUIRIRIM)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864981&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12864023","148","723","Cascadura - Mariópolis","723-CASCADURA - MARIOPOLIS","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864023&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12862174","148","709","Cascadura - Amarelinho (Circular)","709-CASCADURA - AMARELINHO (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862174&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12865832","148","556","Rio das Pedras - Leblon (Circular)","556-RIO DAS PEDRAS - LEBLON (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865832&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12864136","148","401","Rio Comprido - São Salvador","401-RIO COMPRIDO - SAO SALVADOR","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12864136&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
